t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
63165,50776,1,0,4,0,0,0,10,10,2,2,15,6,1126,1035
60720,50874,2,0,5,0,0,1,8,3,1,0,16,6,1010,992
35079,50912,0,1,1,2,0,1,1,1,0,0,7,21,599,796
39432,50960,0,1,0,3,0,1,2,2,0,0,9,23,709,788
57891,51012,0,0,2,3,1,0,7,3,1,0,13,5,1106,988
67270,51055,2,0,3,1,0,1,11,11,2,2,33,12,963,908
62830,51088,1,1,4,0,0,1,7,7,1,1,27,12,975,884
58837,51103,1,0,4,1,0,1,9,9,2,2,10,2,1044,1060
57672,51233,1,0,4,1,0,1,8,8,1,1,8,4,1137,1033
35622,51262,0,1,0,3,0,1,0,0,0,0,1,15,754,875
38268,51272,0,1,1,1,0,1,0,0,0,0,5,17,784,862
64476,51289,2,0,2,3,0,0,10,10,3,3,23,5,1062,1006
42136,51298,0,1,0,3,0,1,3,3,0,0,4,18,870,866
59160,51311,0,1,3,2,1,0,10,10,2,2,14,7,1066,934
61893,51324,1,0,4,1,1,0,10,10,2,2,14,7,1073,1083
61628,51338,1,0,2,2,1,0,11,11,3,3,13,7,1045,1041
61385,51355,1,0,3,1,1,0,8,8,1,1,19,10,970,947
63951,51457,1,0,4,0,0,1,8,8,1,1,31,16,974,861
64050,51482,1,0,3,1,0,0,10,10,2,2,30,11,1002,957
65432,51514,2,0,3,2,1,0,11,11,1,1,15,7,1083,1045
61637,51531,1,0,3,1,0,0,9,9,1,1,20,5,1074,979
56868,51587,0,0,2,3,1,0,7,7,1,1,10,11,1070,1046
61748,51634,1,0,3,2,0,1,8,4,1,0,22,9,965,956
59873,51636,1,0,3,2,0,0,8,8,1,1,17,7,1042,991
61150,51644,1,0,2,2,1,0,9,9,1,1,12,6,1111,1003
63752,51701,1,0,4,0,1,0,9,9,1,1,13,3,1193,1059
63034,51706,1,0,4,1,1,0,10,10,2,2,17,8,1141,1007
60907,51710,1,0,2,1,1,0,9,9,1,1,17,10,1080,1070
33797,51851,0,0,0,2,0,0,0,0,0,0,5,22,647,813
63977,51896,2,0,2,3,0,1,9,9,3,3,15,8,1053,1033
57002,51915,1,0,3,2,0,1,9,9,1,1,15,9,953,985
68597,51957,2,0,4,1,1,0,11,11,2,2,26,9,1001,943
37770,51987,0,1,1,3,1,0,1,1,0,0,4,13,768,930
36864,52141,0,1,1,2,0,1,2,2,0,0,4,24,718,822
63046,52168,2,0,2,2,0,0,10,10,3,3,21,14,1008,952
61735,52178,1,0,4,1,1,0,10,10,2,2,11,2,1041,1112
61566,52189,1,0,2,2,0,0,10,10,2,2,11,5,1184,1119
63099,52191,1,0,3,1,0,1,9,9,2,2,17,5,1076,1070
41358,52268,0,1,0,4,1,0,1,1,0,0,8,19,797,868
63782,52274,2,0,3,2,0,1,8,8,1,1,21,8,1015,1013
65702,52398,1,0,4,1,1,0,11,11,3,3,11,0,1238,1162
61625,52451,1,0,3,2,0,1,10,10,2,2,20,10,1041,977
58008,52459,1,0,2,2,0,1,7,7,1,1,13,7,1049,1044
47596,52507,0,0,0,4,1,0,3,3,0,0,9,13,919,929
64355,52595,2,0,1,3,1,0,9,9,1,1,12,6,1098,1025
61071,52602,2,0,2,2,0,0,10,10,2,2,9,8,1094,1084
61381,52611,2,0,4,0,0,0,8,8,1,1,22,3,1036,1029
67918,52614,1,0,4,1,1,0,10,10,2,2,25,12,1104,989
62221,52650,0,1,4,1,0,1,8,8,1,1,15,3,1146,1058
40120,52653,0,0,0,3,0,0,3,3,0,0,5,20,772,781
64510,52660,1,0,5,0,1,0,8,8,1,1,16,2,1090,1153
56607,52729,0,0,3,1,0,1,7,7,1,1,23,12,913,962
37694,52767,0,1,1,2,0,1,0,0,0,0,4,20,766,824
67002,52776,1,0,4,1,0,1,10,10,2,2,23,9,1112,1052
66671,52835,1,0,5,0,1,0,8,3,1,0,25,6,1163,1024
62135,52838,1,0,2,2,1,0,11,2,3,0,20,6,1009,1050
39677,52864,0,1,2,1,0,1,1,10,0,2,4,15,845,928
67000,52871,1,0,3,2,1,0,10,10,2,2,24,7,1118,1022
58103,52900,1,0,3,2,0,0,7,7,1,1,7,4,1149,1152
63248,52917,2,0,2,2,0,1,8,8,1,1,23,9,994,971
39338,52976,0,0,1,3,0,1,0,0,0,0,4,14,819,1018
59609,52994,1,0,4,1,1,0,8,4,1,0,16,5,963,1094
37221,53025,0,1,1,2,0,1,0,0,0,0,5,19,721,814
64472,53039,0,1,5,0,1,0,9,2,1,0,21,6,1136,1012
64058,53090,2,0,5,0,1,0,10,10,1,1,17,12,1083,1019
62982,53236,2,0,4,0,0,1,11,11,3,3,15,6,1065,1032
68302,53372,2,0,3,1,1,0,10,10,2,2,27,10,1067,1027
61589,53408,1,0,1,4,0,1,8,8,1,1,20,13,996,981
46389,53410,0,0,0,4,1,0,1,1,0,0,11,17,869,950
68538,53415,2,0,4,1,1,0,11,11,3,3,15,2,1194,1086
41778,53450,0,1,0,4,1,0,2,2,0,0,3,18,866,914
